Res,Cor Res
100,100.00
101,100.83
102,101.68
103,102.53
104,103.38
105,104.25
106,105.12
107,106.00
108,106.88
109,107.78
110,108.68
111,109.59
112,110.50
113,111.43
114,112.36
115,113.30
116,114.25
117,115.21
118,116.18
119,117.16
120,118.14
121,119.13
122,120.14
123,121.15
124,122.17
125,123.20
126,124.24
127,125.29
128,126.35
129,127.42
130,128.50
131,129.59
132,130.70
133,131.81
134,132.93
135,134.06
136,135.21
137,136.36
138,137.53
139,138.71
140,139.90
141,141.10
142,142.32
143,143.54
144,144.78
145,146.04
146,147.30
147,148.58
148,149.87
149,151.17
150,152.50
151,153.83
152,155.17
153,156.53
154,157.91
155,159.30
156,160.71
157,162.13
158,163.56
159,165.02
160,166.48
