T ( C ),T ( K ),h_f,h_g,h_gf
28.9600,302.11,121.46,2554.40,2432.94
30.0000,303.15,125.77,2556.30,2430.53
36.1600,309.31,151.53,2567.40,2415.87
40.0000,313.15,167.57,2574.30,2406.73
41.5100,314.66,173.88,2577.00,2403.12
45.8100,318.96,191.83,2584.70,2392.87
50.0000,323.15,209.33,2592.10,2382.77
60.0600,333.15,251.13,2609.60,2358.47
69.1000,342.25,289.23,2625.30,2336.07
75.8700,349.02,317.58,2636.80,2319.22
81.3300,354.48,340.49,2645.90,2305.41
85.9400,359.09,359.86,2653.50,2293.64
89.9500,363.10,376.70,2660.00,2283.30
93.5000,366.45,391.66,2665.80,2274.14
96.7100,369.86,405.15,2670.90,2265.75
99.6300,372.78,417.46,2675.50,2258.04
111.4000,384.55,467.11,2693.60,2226.49
120.2000,393.35,504.70,2706.70,2202.00
130.0000,403.15,546.31,2720.50,2174.19
127.4000,400.55,535.37,2716.90,2181.53
133.6000,406.75,561.47,2725.30,2163.83
138.9000,412.05,584.33,2732.40,2148.07
140.0000,413.15,589.13,2733.90,2144.77
143.6000,416.75,604.74,2738.60,2133.86
147.9000,421.05,623.25,2743.90,2120.65
150.0000,423.15,632.20,2746.60,2114.40
151.9000,425.05,640.23,2748.70,2108.47
158.9000,432.05,670.56,2756.80,2086.24
160.0000,433.15,675.55,2758.10,2082.55
165.0000,438.15,697.22,2763.50,2066.28
170.4000,443.55,721.11,2769.10,2047.99
175.4000,448.55,742.83,2773.90,2031.07
180.0000,453.15,763.22,2778.20,2014.98
198.3000,471.45,844.84,2792.20,1947.36
212.4000,485.55,908.79,2799.50,1890.71
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
