Corrected Resistance,,,Temperature,,,Saturation Properties (given Temperature),,,,,,Enthalpy (given Temperature and Pressure),,,,,,,,,,,,,,
Res,Cor Res,,Cor Res,Temp ( C ),,T ( C ),T ( K ),h_f,h_g,h_gf,,T ( C ),h,,,,,,,,,,,,,
100,100.00,,100.00,0,,28.9600,302.11,121.46,2554.40,2432.94,,95,2667,2667,2666,,,,,,,,,,,
101,100.83,,100.78,2,,30.0000,303.15,125.77,2556.30,2430.53,,100,2678,2677,2676,,,,,,,,,,,
102,101.68,,101.56,4,,36.1600,309.31,151.53,2567.40,2415.87,,110,2698,2697,2696,2695,2694,2693,,,,,,,,
103,102.53,,102.34,6,,40.0000,313.15,167.57,2574.30,2406.73,,120,2718,2717,2717,2715,2715,2714,2711,,,,,,,
104,103.38,,103.12,8,,41.5100,314.66,173.88,2577.00,2403.12,,130,2738,2737,2737,2736,2735,2734,2732,2727,,,,,,
105,104.25,,103.90,10,,45.8100,318.96,191.83,2584.70,2392.87,,140,2757,2757,2757,2756,2755,2754,2752,2748,2739,,,,,
106,105.12,,104.68,12,,50.0000,323.15,209.33,2592.10,2382.77,,150,2777,2777,2776,2776,2775,2774,2773,2770,2760,2753,,,,
107,106.00,,105.46,14,,60.0600,333.15,251.13,2609.60,2358.47,,160,2797,2797,2796,2796,2795,2794,2793,2789,2782,2774,2766,,,
108,106.88,,106.24,16,,69.1000,342.25,289.23,2625.30,2336.07,,165,2807,2806,2806,2805,2805,2804,2803,2799,2792,2785,2778,2770,,
109,107.78,,107.02,18,,75.8700,349.02,317.58,2636.80,2319.22,,170,2817,2816,2816,2815,2815,2814,2813,2810,2803,2796,2789,2782,2774,
110,108.68,,107.79,20,,81.3300,354.48,340.49,2645.90,2305.41,,180,2836,2836,2836,2835,2835,2834,2833,2830,2824,2818,2812,2805,2799,2791
111,109.59,,108.57,22,,85.9400,359.09,359.86,2653.50,2293.64,,190,2856,2856,2856,2855,2855,2854,2853,2850,2845,2839,2833,2828,2821,2815
112,110.50,,109.35,24,,89.9500,363.10,376.70,2660.00,2283.30,,200,2876,2876,2875,2875,2874,2874,2873,2871,2866,2862,2855,2851,2845,2840
113,111.43,,110.12,26,,93.5000,366.45,391.66,2665.80,2274.14,,210,2896,2895,2895,2895,2894,2894,2893,2891,2886,2881,2877,2872,2867,2862
114,112.36,,110.90,28,,96.7100,369.86,405.15,2670.90,2265.75,,220,2915,2915,2915,2914,2914,2914,2913,2911,2907,2902,2898,2894,2889,2884
